Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
19.09.2017,Cinemaxx 4,4,N1,14:45,14:59,15:52,16:04,16:37,16:51,2D,BULLYPARADE - DER FILM,6,00:28,17:30,2D,MOTHER!
19.09.2017,Cinemaxx 8,8,N1,14:45,15:00,15:49,16:02,16:40,16:46,2D,HEREINSPAZIERT!,6,00:48,17:45,2D,HEREINSPAZIERT!
19.09.2017,Cinemaxx 5,5,N1,14:45,15:02,15:55,16:07,16:36,16:45,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,00:34,17:30,2D,KILLER'S BODYGUARD
19.09.2017,Cinemaxx 2,2,N2,17:00,17:13,17:55,18:08,18:58,19:06,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:43,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
19.09.2017,Cinemaxx 6,6,N2,17:00,17:16,18:09,18:21,19:12,19:19,2D,ANNABELLE 2,16,00:30,20:00,2D,ANNABELLE 2
19.09.2017,Cinemaxx 1,1,N2,17:15,17:28,18:10,18:22,19:22,19:30,2D,THE CIRCLE,12,00:34,20:15,2D,THE CIRCLE
19.09.2017,Cinemaxx 7,7,N2,17:15,17:29,18:36,18:48,19:54,20:01,3D,"PLANET DER AFFEN: SURVIVAL ",12,00:18,20:30,2D,LOGAN LUCKY
19.09.2017,Cinemaxx 3,3,N2,17:15,17:34,18:25,18:37,19:33,19:42,2D,BARRY SEAL: ONLY IN AMERICA,12,00:22,20:15,2D,BARRY SEAL: ONLY IN AMERICA
19.09.2017,Cinemaxx 4,4,N2,17:30,17:44,18:30,18:42,19:53,19:58,2D,MOTHER!,16,00:36,20:45,2D,BABY DRIVER
19.09.2017,Cinemaxx 5,5,N2,17:30,17:47,18:38,18:50,19:50,19:58,2D,KILLER'S BODYGUARD,16,00:21,20:30,2D,KILLER'S BODYGUARD
