Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
14.10.2017,Gotthard 7,7,N1,14:30,14:48,15:32,15:44,16:33,16:43,3D,"THE LEGO NINJAGO MOVIE ",6,00:36,17:30,2D,KILLER'S BODYGUARD
14.10.2017,Gotthard 4,4,N1,14:45,15:02,15:46,15:58,16:53,17:02,2D,BORG/MCENROE,6,00:17,17:30,2D,BORG/MCENROE
14.10.2017,Gotthard 5,5,N1,15:00,15:12,16:14,16:26,17:57,18:08,3D,"BLADE RUNNER 2049 ",14,01:11,19:30,3D,"BLADE RUNNER 2049 "
14.10.2017,Gotthard 8,8,N2,17:00,17:16,18:06,18:18,19:43,19:49,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:15,20:15,2D,KINGSMAN: THE GOLDEN CIRCLE
14.10.2017,Gotthard 2,2,N2,17:00,17:18,18:22,18:34,19:39,19:46,2D,ES,16,00:18,20:15,2D,ES
14.10.2017,Gotthard 1,1,N2,17:15,17:32,18:34,18:46,19:25,19:33,3D,"CARS 3 - EVOLUTION ",6,00:16,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
14.10.2017,Gotthard 6,6,N2,17:15,17:28,18:09,18:21,19:15,19:18,2D,FLITZER,12,00:31,20:00,2D,FLITZER
14.10.2017,Gotthard 3,3,N2,17:30,17:49,18:30,18:42,19:45,19:54,2D,AMERICAN ASSASSIN,16,00:40,20:45,2D,AMERICAN ASSASSIN
14.10.2017,Gotthard 4,4,N2,17:30,17:47,18:31,18:43,19:38,19:47,2D,BORG/MCENROE,6,00:32,20:30,2D,BORG/MCENROE
14.10.2017,Gotthard 7,7,N2,17:30,17:48,18:25,18:37,19:52,19:59,2D,KILLER'S BODYGUARD,16,00:20,20:30,2D,BARRY SEAL: ONLY IN AMERICA
14.10.2017,Gotthard 5,5,HV,19:30,19:42,20:44,20:56,22:27,22:39,3D,"BLADE RUNNER 2049 ",14,00:40,23:30,2D,ANNABELLE 2
14.10.2017,Gotthard 1,1,HV,20:00,20:18,21:00,21:12,22:03,22:10,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:24,22:45,3D,"BLADE RUNNER 2049 "
